Species	ID	Habitat
Podocnemis expansa	podExp	Rivers
Pelusios castaneus	pelCas	Lakes
Mesoclemmys tuberculata	mesTub	Swamps
Emydura subglobosa	emySub	Swamps
Dermatemys mawii	derMaw	Lakes
Chelydra serpentina	cheSer	Swamps
Dermochelys coriacea	derCor	Marine
Chelonia mydas	cheMyd	Marine
Platysternon megacephalum	plaMeg	Rivers
Terrapene mexicana	terMex	Terrestrial
Malaclemys terrapin	malTer	Terrestrial
Chrysemys picta	chrPic	Lakes
Cuora mccordi	cuoMcc	Terrestrial
Cuora amboinensis	cuoAmb	Terrestrial
Gopherus agassizii	gopAga	Terrestrial
Chelonoidis abingdonii	cheAbi	Terrestrial
Pelodiscus sinensis	pelSin	Swamps
Carettochelys insculpta	carIns	Rivers
Homo sapiens	homSap	Outgroup
Gallus gallus	galGal	Outgroup
Alligator mississipiensis	allMis	Outgroup